Software,Software type,Open_Closed_Src,cpe:/a:apache:solr:5.3,Release,Mainstream Support End,Extended Support End,Db-eng ref,Source ,Secondary Source
ios 7.X,Mobile/tablet OS,CS,cpe:/o:apple:iphone_os:7.1.2,Sep-13,TBD,TBD,,https://en.wikipedia.org/wiki/IOS_version_history#Version_history:_iPhone.2C_iPad.2C_and_iPod_Touch,http://alohahsap.org/SMARTERBALANCED/wp-content/uploads/HSAP_Operating_System_Support_Plan_2015-2016.pdf
ios 6.X,Mobile/tablet OS,CS,cpe:/o:apple:iphone_os:6.1.5,Sep-12,Sep-15,Sep-15,,https://en.wikipedia.org/wiki/IOS_version_history#Version_history:_iPhone.2C_iPad.2C_and_iPod_Touch,http://alohahsap.org/SMARTERBALANCED/wp-content/uploads/HSAP_Operating_System_Support_Plan_2015-2016.pdf
ios 5.X,Mobile/tablet OS,CS,cpe:/o:apple:iphone_os:5.1.1,Jun-11,Jan-13,Jan-13,,https://en.wikipedia.org/wiki/IOS_5,http://alohahsap.org/SMARTERBALANCED/wp-content/uploads/HSAP_Operating_System_Support_Plan_2015-2016.pdf
ios 4.X,Mobile/tablet OS,CS,cpe:/o:apple:iphone_os:4.3.5,Jun-10,Jan-13,Jan-13,,https://en.wikipedia.org/wiki/IOS_4,http://alohahsap.org/SMARTERBALANCED/wp-content/uploads/HSAP_Operating_System_Support_Plan_2015-2016.pdf
Win /phone/tab,Mobile/tablet OS,CS,,,,,,,
Mint,Linux- OS,OS,cpe:/o:linuxmint:linux_mint:17.3,Jan-16,Apr-17,Apr-17,,https://en.wikipedia.org/wiki/List_of_Linux_Mint_releases,All based on 14.04
Debian,Linux- OS,OS,cpe:/o:debian:debian_linux:8.0,Apr-15,Jun-18,,,,
Ubuntu,Linux- OS,OS,cpe:/o:canonical:ubuntu_linux:16.04::~~lts~~~,Jul-16,,,,https://wiki.ubuntu.com/Releases,
openSUSE,Linux- OS,OS,cpe:/o:novell:opensuse:13.2,Oct-14,Mar-17,,,https://en.wikipedia.org/wiki/SUSE_Linux_distributions#The_openSUSE_Project,
Fedora,Linux- OS,OS,cpe:/o:fedoraproject:fedora:24,Jun-16,,,,https://en.wikipedia.org/wiki/Fedora_(operating_system)#Releases,
Manjaro,Linux- OS,OS,,,,,,,
CentOS,Linux- OS,OS,cpe:/o:centos:centos:7.1,Aug-15,,,,https://en.wikipedia.org/wiki/CentOS,
Mageia,Linux- OS,OS,,,,,,,
Arch,Linux- OS,OS,,,,,,,
Zorin,Linux- OS,OS,,,,,,,
